sim_occ_change,wage_change,actual_occ_change,city_year,occ_year,predicted_wage,city_year_coeff,occ_year_coeff,iv_wage_coeff
-0.001994333790001121,-0.04210231844712098,-0.013964875431077495,"(Akron, OH)_2011",(occ2_management)_2011,0.004682473301187349,,,0.6021636145775418
0.0011586694086375376,0.05996944592216735,-0.08665291363692162,"(Akron, OH)_2012",(occ2_management)_2012,0.035683273524087546,0.03238419853636751,-0.016360519305473997,0.6021636145775418
-0.0013311349260173503,0.0431680161984378,0.10312888868399028,"(Akron, OH)_2013",(occ2_management)_2013,0.011203143974560625,0.021674902912132046,3.334071290954713e-05,0.6021636145775418
0.001649718973397782,0.020250486074532503,-0.007092472821301321,"(Akron, OH)_2014",(occ2_management)_2014,0.04051134647474204,-0.03792960556234809,-0.019942987586017546,0.6021636145775418
6.431471405100907e-05,-0.0007126356523823318,-0.058299591397086736,"(Akron, OH)_2015",(occ2_management)_2015,0.024923414075001742,0.004478134705320682,-0.0036872404109090824,0.6021636145775418
-0.0010228474747640624,0.029820219464847142,0.03691515967831993,"(Akron, OH)_2016",(occ2_management)_2016,0.01423427242113393,0.05276558908510601,-0.008463896455268408,0.6021636145775418
0.0018853033473673648,0.01011368921336242,-0.011748623868116148,"(Akron, OH)_2017",(occ2_management)_2017,0.04282764736407236,-0.05320940423354126,-0.00992183418413028,0.6021636145775418
0.00029182079340213607,0.060027931306109394,0.07721616453582136,"(Akron, OH)_2018",(occ2_management)_2018,0.027160287960351658,0.06941646781586976,-0.004219336784574909,0.6021636145775418
0.0015286603448590053,0.0841318189893574,-0.09539571156674143,"(Akron, OH)_2019",(occ2_management)_2019,0.039321079886934826,-0.08556962394169537,-0.012882582358201125,0.6021636145775418
-8.791260390647495e-05,-0.1258424124381623,-0.10941354146254767,"(Akron, OH)_2011",(occ2_primary)_2011,0.023426692259272085,,-0.008629138500328594,0.6021636145775418
-3.7195508025509456e-05,0.10722435368932359,0.25064810804481397,"(Akron, OH)_2012",(occ2_primary)_2012,0.023925350350697535,0.03238419853636751,-0.00903557402744317,0.6021636145775418
1.2842696783103455e-05,0.49391245724023314,0.093794680172536,"(Akron, OH)_2013",(occ2_primary)_2013,0.024417333483303973,0.021674902912132046,-0.015272258341655052,0.6021636145775418
6.281678923593862e-05,-0.804603070875709,-0.12898215856136996,"(Akron, OH)_2014",(occ2_primary)_2014,0.024908686253615146,-0.03792960556234809,-0.006371057309944538,0.6021636145775418
7.544102356288683e-06,0.5967344459670887,0.03323804076830861,"(Akron, OH)_2015",(occ2_primary)_2015,0.024365236908407133,0.004478134705320682,0.004199981821889361,0.6021636145775418
-3.0789837107544665e-05,0.051390594608212936,-0.1028513619268896,"(Akron, OH)_2016",(occ2_primary)_2016,0.023988331867654828,0.05276558908510601,-0.008780865955638126,0.6021636145775418
