MET2013,Year,city_year,log_wage,log_share,city_year_coeff,wage_coeff
"Akron, OH",2010,"(Akron, OH)_2010",12.966230761526441,-5.810573194326426,,0.3251076363138501
"Akron, OH",2011,"(Akron, OH)_2011",12.923418168766313,-5.831213882855127,-0.006721987695221934,0.3251076363138501
"Akron, OH",2012,"(Akron, OH)_2012",13.003536543078777,-5.822335585601732,-0.023890785737036957,0.3251076363138501
"Akron, OH",2013,"(Akron, OH)_2013",13.064907045005013,-5.812665487450195,-0.034172706405788844,0.3251076363138501
"Akron, OH",2014,"(Akron, OH)_2014",13.003092129425303,-5.81214296823174,-0.013553686094255044,0.3251076363138501
"Akron, OH",2015,"(Akron, OH)_2015",13.09087234013402,-5.8343505022899596,-0.06429923697120904,0.3251076363138501
"Akron, OH",2016,"(Akron, OH)_2016",13.092930694411802,-5.842730457836557,-0.07334837921168003,0.3251076363138501
"Akron, OH",2017,"(Akron, OH)_2017",13.124815400098,-5.825736438237236,-0.06672032091261837,0.3251076363138501
"Akron, OH",2018,"(Akron, OH)_2018",13.175404883351291,-5.817512026313475,-0.07494293631155602,0.3251076363138501
"Akron, OH",2019,"(Akron, OH)_2019",13.224835832172502,-5.875632612791845,-0.14913390172207386,0.3251076363138501
"Albany-Schenectady-Troy, NY",2010,"(Albany-Schenectady-Troy, NY)_2010",13.030966793006977,-5.599382972979604,0.19014404316772904,0.3251076363138501
"Albany-Schenectady-Troy, NY",2011,"(Albany-Schenectady-Troy, NY)_2011",13.037877022284974,-5.5850947200635845,0.20218572777672517,0.3251076363138501
"Albany-Schenectady-Troy, NY",2012,"(Albany-Schenectady-Troy, NY)_2012",13.091236979207007,-5.618961368114274,0.15097135025738675,0.3251076363138501
"Albany-Schenectady-Troy, NY",2013,"(Albany-Schenectady-Troy, NY)_2013",13.094184923077757,-5.6066049920611265,0.16236932724683872,0.3251076363138501
"Albany-Schenectady-Troy, NY",2014,"(Albany-Schenectady-Troy, NY)_2014",13.142272378415518,-5.621321642297423,0.13201907806929114,0.3251076363138501
"Albany-Schenectady-Troy, NY",2015,"(Albany-Schenectady-Troy, NY)_2015",13.168190030333314,-5.648478383785489,0.09643631002737774,0.3251076363138501
"Albany-Schenectady-Troy, NY",2016,"(Albany-Schenectady-Troy, NY)_2016",13.235161894885648,-5.637953784365905,0.08518784486285025,0.3251076363138501
"Albany-Schenectady-Troy, NY",2017,"(Albany-Schenectady-Troy, NY)_2017",13.233701479868449,-5.65780309254344,0.06581332875960855,0.3251076363138501
"Albany-Schenectady-Troy, NY",2018,"(Albany-Schenectady-Troy, NY)_2018",13.202715891032613,-5.635770911026722,0.09791916182250304,0.3251076363138501
"Albany-Schenectady-Troy, NY",2019,"(Albany-Schenectady-Troy, NY)_2019",13.236589556310088,-5.6111611159297015,0.1115163696679291,0.3251076363138501
"Albuquerque, NM",2010,"(Albuquerque, NM)_2010",12.934866134104658,-5.617894287212072,0.2028757869991978,0.3251076363138501
"Albuquerque, NM",2011,"(Albuquerque, NM)_2011",12.917501186124829,-5.6387845623225274,0.18763098908119247,0.3251076363138501
"Albuquerque, NM",2012,"(Albuquerque, NM)_2012",12.901821936991674,-5.650434474332111,0.18107852069648178,0.3251076363138501
"Albuquerque, NM",2013,"(Albuquerque, NM)_2013",12.936683161997058,-5.696508590074582,0.12367075449354292,0.3251076363138501
"Albuquerque, NM",2014,"(Albuquerque, NM)_2014",12.924628677880081,-5.672225688586937,0.15187266081947115,0.3251076363138501
"Albuquerque, NM",2015,"(Albuquerque, NM)_2015",12.992345329201736,-5.716625859771232,0.08545728918481994,0.3251076363138501
"Albuquerque, NM",2016,"(Albuquerque, NM)_2016",13.005222731939062,-5.694972673740156,0.10292393325012394,0.3251076363138501
"Albuquerque, NM",2017,"(Albuquerque, NM)_2017",12.978431524054162,-5.731790775802137,0.07481585745762054,0.3251076363138501
"Albuquerque, NM",2018,"(Albuquerque, NM)_2018",13.030667506916023,-5.717117219926299,0.07250709641466788,0.3251076363138501
"Albuquerque, NM",2019,"(Albuquerque, NM)_2019",13.133862266720147,-5.6804465297129765,0.0756283821880806,0.3251076363138501
"Alexandria, LA",2010,"(Alexandria, LA)_2010",12.897989766834643,-7.642066001485396,-1.8093071386751198,0.3251076363138501
"Alexandria, LA",2011,"(Alexandria, LA)_2011",12.797342538195092,-7.777560824310477,-1.9120807788956755,0.3251076363138501
"Allentown-Bethlehem-Easton, PA-NJ",2010,"(Allentown-Bethlehem-Easton, PA-NJ)_2010",13.049771180365955,-5.638639144870548,0.14477442135023436,0.3251076363138501
"Allentown-Bethlehem-Easton, PA-NJ",2011,"(Allentown-Bethlehem-Easton, PA-NJ)_2011",12.99709405758007,-5.636157519745539,0.16438178135191225,0.3251076363138501
"Allentown-Bethlehem-Easton, PA-NJ",2012,"(Allentown-Bethlehem-Easton, PA-NJ)_2012",13.06483460343437,-5.63234012115007,0.14617621120211055,0.3251076363138501
"Allentown-Bethlehem-Easton, PA-NJ",2013,"(Allentown-Bethlehem-Easton, PA-NJ)_2013",13.100824918509435,-5.655983243514465,0.11083236257344176,0.3251076363138501
"Allentown-Bethlehem-Easton, PA-NJ",2014,"(Allentown-Bethlehem-Easton, PA-NJ)_2014",13.06957003586671,-5.624520002491463,0.15245680461574104,0.3251076363138501
"Allentown-Bethlehem-Easton, PA-NJ",2015,"(Allentown-Bethlehem-Easton, PA-NJ)_2015",13.119061480927819,-5.626048197460993,0.1348385629246109,0.3251076363138501
"Allentown-Bethlehem-Easton, PA-NJ",2016,"(Allentown-Bethlehem-Easton, PA-NJ)_2016",13.196561485237401,-5.6318683447588,0.10382257241138326,0.3251076363138501
"Allentown-Bethlehem-Easton, PA-NJ",2017,"(Allentown-Bethlehem-Easton, PA-NJ)_2017",13.239948992199603,-5.658247373659894,0.06333793367630935,0.3251076363138501
"Allentown-Bethlehem-Easton, PA-NJ",2018,"(Allentown-Bethlehem-Easton, PA-NJ)_2018",13.2478993322266,-5.6633515343364405,0.05564905674569348,0.3251076363138501
"Allentown-Bethlehem-Easton, PA-NJ",2019,"(Allentown-Bethlehem-Easton, PA-NJ)_2019",13.255246968185762,-5.673670315961574,0.04294150256137935,0.3251076363138501
"Altoona, PA",2010,"(Altoona, PA)_2010",12.865180162961257,-7.481465566029051,-1.6380400504551051,0.3251076363138501
"Altoona, PA",2011,"(Altoona, PA)_2011",12.746650593585043,-7.493758801691473,-1.6117984179843647,0.3251076363138501
"Amarillo, TX",2010,"(Amarillo, TX)_2010",12.935987092464773,-6.871183462473258,-1.0507778203848501,0.3251076363138501
"Amarillo, TX",2011,"(Amarillo, TX)_2011",12.951784579061439,-6.884901759912017,-1.0696320013507306,0.3251076363138501
"Amarillo, TX",2012,"(Amarillo, TX)_2012",13.00853883835446,-6.8750948468275555,-1.078276331355772,0.3251076363138501
"Amarillo, TX",2013,"(Amarillo, TX)_2013",13.03330494035785,-6.847551993580441,-1.0587851269917063,0.3251076363138501
"Amarillo, TX",2014,"(Amarillo, TX)_2014",13.082336191177498,-6.854357369862281,-1.0815309373330253,0.3251076363138501
"Amarillo, TX",2015,"(Amarillo, TX)_2015",13.077885782354338,-6.909535773952486,-1.1352624795300827,0.3251076363138501
"Amarillo, TX",2016,"(Amarillo, TX)_2016",13.096813642072394,-6.912913716998317,-1.1447940143092952,0.3251076363138501
"Amarillo, TX",2017,"(Amarillo, TX)_2017",13.144084827925656,-6.948385041220609,-1.1956335620301122,0.3251076363138501
"Amarillo, TX",2018,"(Amarillo, TX)_2018",13.189997019439833,-6.97719904577937,-1.2393739706500337,0.3251076363138501
"Amarillo, TX",2019,"(Amarillo, TX)_2019",13.231020920237972,-6.975849342417413,-1.2513614507089201,0.3251076363138501
"Anchorage, AK",2010,"(Anchorage, AK)_2010",13.162315944244693,-6.277881381167425,-0.5310569771107438,0.3251076363138501
"Anchorage, AK",2011,"(Anchorage, AK)_2011",13.216116993854383,-6.237316151394826,-0.5079828794079422,0.3251076363138501
"Anchorage, AK",2012,"(Anchorage, AK)_2012",13.219022202070525,-6.228915934753688,-0.5005271681430082,0.3251076363138501
"Anchorage, AK",2013,"(Anchorage, AK)_2013",13.230145356938701,-6.263486077978748,-0.5387135339555685,0.3251076363138501
"Anchorage, AK",2014,"(Anchorage, AK)_2014",13.242345680651521,-6.298461902655347,-0.5776557770367079,0.3251076363138501
"Anchorage, AK",2015,"(Anchorage, AK)_2015",13.30098375170083,-6.336394355914414,-0.6346519149726699,0.3251076363138501
"Anchorage, AK",2016,"(Anchorage, AK)_2016",13.261695972128932,-6.290626122874516,-0.5761109247801263,0.3251076363138501
"Anchorage, AK",2017,"(Anchorage, AK)_2017",13.303765270754674,-6.34604560997639,-0.6452074621195435,0.3251076363138501
"Anchorage, AK",2018,"(Anchorage, AK)_2018",13.284704187322863,-6.317790652769262,-0.6107556011323352,0.3251076363138501
"Anchorage, AK",2019,"(Anchorage, AK)_2019",13.22726034823119,-6.4233757832246425,-0.697665300839831,0.3251076363138501
"Ann Arbor, MI",2010,"(Ann Arbor, MI)_2010",13.070674136095194,-6.421811435136894,-0.6451935794452168,0.3251076363138501
"Ann Arbor, MI",2011,"(Ann Arbor, MI)_2011",13.049472692418005,-6.438007101343832,-0.6544964944118542,0.3251076363138501
"Ann Arbor, MI",2012,"(Ann Arbor, MI)_2012",12.956073119423392,-6.382409245808939,-0.5685337244679527,0.3251076363138501
"Ann Arbor, MI",2013,"(Ann Arbor, MI)_2013",12.97297188481026,-6.396669405781484,-0.5882878021120366,0.3251076363138501
"Ann Arbor, MI",2014,"(Ann Arbor, MI)_2014",12.994043867005427,-6.423758739908561,-0.622227798563017,0.3251076363138501
"Ann Arbor, MI",2015,"(Ann Arbor, MI)_2015",13.101074973722012,-6.40498834220784,-0.6382540309789873,0.3251076363138501
