8.313137412277082916e+00,6.961506638996728391e+00,1.094274199778582179e+01,7.275927773436366763e+00,5.763088895994125771e+00
1.439694630676466147e+01,9.322671098540393331e+00,1.020258461406377215e+01,5.725755441359629216e+00,8.366851826424451133e+00
1.033276776912959782e+01,6.547019267733091397e+00,1.112709405503701632e+01,8.198083930243585726e+00,9.124918750620169661e+00
8.194880163311809795e+00,1.555683455352681221e+01,9.959508325786197602e+00,6.826867213132299383e+00,1.246763473630956653e+01
6.337469050086933287e+00,1.062659078501426535e+01,4.120989628360673507e+00,6.015441853304708708e+00,1.059058370760737056e+01
1.221539973998623196e+01,1.051410484356991226e+01,9.653055152835278818e+00,9.096688913232133800e+00,5.564434028897718321e+00
7.840467374815874635e+00,8.618083687120638103e+00,1.317136667865674760e+01,1.103085486870538467e+01,4.710879533911798589e+00
1.097225190818438456e+01,8.844753158751050393e+00,7.969233999082123709e+00,1.183502886652260422e+01,1.309299856748785373e+01
1.279384035734859637e+01,7.482347430332084492e+00,9.072362872446356974e+00,1.099379029421069198e+01,1.292663538136707757e+01
8.562477286464130088e+00,9.443023070008548459e+00,6.680995077981915387e+00,6.411380127757987601e+00,1.243757746718259405e+01
